time,session 
0,2194.9438571428573 
10,2588.8218 
20,5717.056 
30,3624.5215714285705 
40,3044.421157894737 
50,10977.185923076924 
60,4733.349533333335 
70,4621.653828571428 
80,6282.598571428571 
90,4318.050459016396 
100,5326.614092307692 
110,4539.700371794871 
120,4792.317402877698 
130,4971.908484615385 
140,5841.824193333337 
150,5023.531430493276 
160,4569.811080139372 
170,5400.361689024388 
180,4672.490322869953 
190,4189.792225806452 
200,5303.264060000004 
210,4716.813218020002 
220,4257.876187956212 
230,5592.781633223686 
240,4630.862961117193 
250,4432.247571100918 
260,5731.831712279317 
270,5571.938075623809 
280,7146.983805227366 
290,10372.792853615565 
300,14763.0058637566 
310,20228.297838743474 
320,25864.843650406478 
330,51857.211 
