time,users_count,finish_users_count 
0,1.1,0.7 
10,1.1,1 
20,0.8,1.1 
30,2.6,1.4 
40,2,1.9 
50,1.1,1.3 
60,3.7,3 
70,3.6,3.5 
80,4.3,4.2 
90,7,6.1 
100,7.6,6.5 
110,8.6,7.8 
120,16.3,13.9 
130,14.8,13 
140,15.8,15 
150,26.6,22.3 
160,33.3,28.7 
170,32.2,32.8 
180,53.8,44.6 
190,64.7,58.9 
200,62.5,60 
210,110.8,89.9 
220,122.8,109.6 
230,125.7,121.6 
240,226.5,182.6 
250,245.8,218 
260,245.6,249.2 
270,405.7,260.5 
280,401.7,279.3 
290,402.2,283.5 
300,77.6,378 
310,0,191 
320,0,36.9 
330,0,0.1 
