time,freemem@tsung_controller@ip-172-31-12-227 
0,7276.03125 
10,7276.4296875 
20,7278.69140625 
30,7278.69140625 
40,7278.69140625 
50,7278.69140625 
60,7278.69140625 
70,7278.69140625 
80,7278.69140625 
90,7278.69140625 
100,7278.69140625 
110,7278.69140625 
120,7278.69140625 
130,7278.69140625 
140,7278.69140625 
150,7278.69140625 
160,7278.69140625 
170,7278.69140625 
180,7278.69140625 
190,7278.69140625 
200,7278.69140625 
210,7278.69140625 
220,7278.69140625 
230,7278.69140625 
240,7278.69140625 
250,7278.69140625 
260,7278.69140625 
270,7278.69140625 
280,7278.69140625 
290,7278.69140625 
300,7278.69140625 
310,7278.69140625 
320,7278.69140625 
330,7278.69140625 
