time,load@tsung_controller@ip-172-31-12-227 
0,0.12109375 
10,0.1015625 
20,0.078125 
30,0.0703125 
40,0.05859375 
50,0.05078125 
60,0.0390625 
70,0.03125 
80,0.03125 
90,0.01953125 
100,0.01953125 
110,0.01953125 
120,0.01171875 
130,0.01171875 
140,0.01171875 
150,0.08984375 
160,0.0703125 
170,0.05859375 
180,0.12890625 
190,0.1796875 
200,0.23046875 
210,0.19921875 
220,0.3203125 
230,0.5703125 
240,0.62890625 
250,0.69140625 
260,0.73828125 
270,0.76953125 
280,0.890625 
290,1.12890625 
300,1.26953125 
310,1.1484375 
320,1.12890625 
330,0.94921875 
