time,connect,request 
0,14.122,333.028 
10,14.122,333.028 
20,14.122,333.028 
30,14.122,333.028 
40,14.122,333.028 
50,14.122,333.028 
60,21.06,333.028 
70,21.06,333.028 
80,21.06,333.028 
90,21.06,333.028 
100,21.06,333.028 
110,21.06,333.028 
120,21.06,333.028 
130,21.06,333.028 
140,21.06,333.028 
150,21.06,333.028 
160,21.06,508.531 
170,21.06,509.293 
180,21.06,515.708 
190,21.06,515.708 
200,21.06,515.708 
210,21.06,718.864 
220,21.06,798.144 
230,21.06,972.138 
240,21.06,3091.617 
250,23.228,4912.563 
260,23.228,6774.017 
270,23.228,6774.017 
280,23.228,6774.017 
290,23.228,6774.017 
300,23.228,6774.017 
310,23.228,6774.017 
320,23.228,6774.017 
330,23.228,6774.017 
340,23.228,6774.017 
350,23.228,6774.017 
353,23.228,6774.017 
