time,connect,request 
0,0.3,0.6 
10,0.8,4.3 
20,0.9,6 
30,1,5.1 
40,1.9,10.8 
50,1.2,12 
60,3.9,19 
70,4,26.1 
80,3.7,27.8 
90,6.9,36.8 
100,8.8,56.9 
110,6.1,47.8 
120,14.1,72.6 
130,15.1,93.5 
140,17.4,123 
150,25.9,142.1 
160,34,217.1 
170,29.7,204.1 
180,53.7,300.9 
190,64.7,423.8 
200,62.7,419.6 
210,102.4,572.7 
220,121.5,767.2 
230,128.8,842 
240,197.4,759.3 
250,245.2,699.5 
260,244.9,1437.8 
270,421.3,2437.7 
280,456.8,3059.3 
290,454.2,3081.4 
300,147.4,2082.3 
310,0,1308.1 
320,0,197 
330,0,0.4 
340,0,0 
350,0,0 
353,0,0 
