time,session 
0,118.085 
10,2159.8894285714287 
20,5569.695375 
30,5860.027285714285 
40,5384.368428571429 
50,6545.3372500000005 
60,4965.8272962962965 
70,4323.681864864865 
80,6191.636263157896 
90,4348.346117647057 
100,3760.49230120482 
110,6727.54068 
120,3468.7011730769223 
130,4618.760285714284 
140,5801.172555555551 
150,4723.39652830189 
160,3880.035226229513 
170,5644.829519354839 
180,4685.2878864197555 
190,4070.3167912457884 
200,5321.43303011093 
210,4739.630476129031 
220,4359.343714030381 
230,5708.9981253112055 
240,6239.674961297071 
250,9857.748336219349 
260,12914.487250467293 
270,13996.21004828201 
280,12559.636975521342 
290,12354.500402510086 
300,14034.5333092084 
310,19986.709305831282 
320,24547.73911563519 
330,0 
340,0 
350,0 
353,0 
