time,session 
0,0 
10,2381.2981148546965 
20,5969.769415643895 
30,7127.077800074701 
40,5635.014001900993 
50,6154.405873336033 
60,6182.904778416298 
70,5180.370351760932 
80,6924.552971997018 
90,5446.449271886959 
100,4558.545521648446 
110,6583.468332000665 
120,4773.242905303227 
130,5614.885819979754 
140,6509.61013318329 
150,6114.695280558326 
160,4606.136764399264 
170,6332.553096170383 
180,5646.89522037696 
190,4579.5336359789035 
200,6120.992411023124 
210,5765.159206742592 
220,4991.510136608603 
230,6317.054373390722 
240,6492.921629795741 
250,6862.096658970647 
260,8119.091469356954 
270,9778.913366811852 
280,10242.14089359949 
290,9958.620190145937 
300,9195.455582403454 
310,7305.4346145518175 
320,2720.512202728568 
330,0 
340,0 
350,0 
353,0 
