time,size_sent,size_rcv 
0,1.853125,15.03203125 
10,17.7703125,138.865625 
20,25.7078125,182.57109375 
30,19.68359375,162.3859375 
40,44.76796875,331.5296875 
50,55.63515625,356.371875 
60,75.44296875,607.18984375 
70,112.95625,838.1109375 
80,119.4671875,859.746875 
90,152.259375,1207.34375 
100,243.884375,1779.3046875 
110,210.684375,1471.80703125 
120,293.48515625,2467.94453125 
130,398.86640625,3040.30546875 
140,523.84453125,4083.70703125 
150,589.109375,4921.8765625 
160,913.48359375,7610.353125 
170,872.3921875,7026.371875 
180,1240.70625,11005.54765625 
190,1805.51796875,15746.02421875 
200,1779.32109375,15553.33046875 
210,2384.41328125,22624.91875 
220,3269.6984375,31043.43046875 
230,3589.4390625,34830.09453125 
240,3419.009375,32050.0375 
250,3247.43828125,30816.90234375 
260,5156.14609375,34247.840625 
270,7820.33671875,47435.25 
280,9364.10390625,49638 
290,9440.22109375,49034.978125 
300,7419.9484375,50202.68828125 
310,5063.309375,41399.02734375 
320,1047.43359375,3592.09609375 
330,2.103125,6.921875 
340,0,0 
350,0,0 
353,0,0 
