time,size_sent,size_rcv 
0,1.853125,15.03203125 
10,19.6234375,153.89765625 
20,45.33125,336.46875 
30,65.01484375,498.8546875 
40,109.7828125,830.384375 
50,165.41796875,1186.75625 
60,240.8609375,1793.94609375 
70,353.8171875,2632.05703125 
80,473.284375,3491.80390625 
90,625.54375,4699.14765625 
100,869.428125,6478.45234375 
110,1080.1125,7950.259375 
120,1373.59765625,10418.20390625 
130,1772.4640625,13458.509375 
140,2296.30859375,17542.21640625 
150,2885.41796875,22464.09296875 
160,3798.9015625,30074.44609375 
170,4671.29375,37100.81796875 
180,5912,48106.365625 
190,7717.51796875,63852.38984375 
200,9496.8390625,79405.7203125 
210,11881.25234375,102030.6390625 
220,15150.95078125,133074.06953125 
230,18740.38984375,167904.1640625 
240,22159.39921875,199954.2015625 
250,25406.8375,230771.10390625 
260,30562.98359375,265018.94453125 
270,38383.3203125,312454.19453125 
280,47747.42421875,362092.19453125 
290,57187.6453125,411127.17265625 
300,64607.59375,461329.8609375 
310,69670.903125,502728.88828125 
320,70718.33671875,506320.984375 
330,70720.43984375,506327.90625 
340,70720.43984375,506327.90625 
350,70720.43984375,506327.90625 
353,70720.43984375,506327.90625 
