time,page 
0,151.17133333333334 
10,161.79005555555557 
20,92.77032258064517 
30,77.53764516129033 
40,77.96238983050847 
50,63.71982089552243 
60,68.36461467889904 
70,64.84074626865673 
80,67.81386619718309 
90,73.03644390243906 
100,71.6285286195286 
110,62.538250000000005 
120,73.22944059405958 
130,67.47125141776934 
140,66.86992006525276 
150,77.26063372859025 
160,73.18861135371189 
170,71.65257734806617 
180,79.59334064516139 
190,83.4254294198265 
200,75.64633302919724 
210,107.56083244680838 
220,128.9657451699683 
230,154.72739167412806 
240,686.0156294566017 
250,3202.382006542522 
260,3545.6903204775144 
270,2758.1780155557326 
280,1955.2525871133707 
290,1907.879946558747 
300,2713.0946808311514 
310,2205.977440083218 
320,18.903089197224958 
330,21.076500000000003 
340,0 
350,0 
353,0 
