time,load@tsung_controller@ip-172-31-8-98 
0,0.01953125 
10,0.01953125 
20,0.01953125 
30,0.01953125 
40,0.01953125 
50,0.01953125 
60,0.01953125 
70,0.01953125 
80,0.01953125 
90,0.01953125 
100,0.01953125 
110,0.01953125 
120,0.01953125 
130,0.01953125 
140,0.078125 
150,0.078125 
160,0.078125 
170,0.12890625 
180,0.12890625 
190,0.171875 
200,0.21875 
210,0.26171875 
220,0.37890625 
230,0.46875 
240,0.48046875 
250,0.55078125 
260,0.62890625 
270,0.62890625 
280,0.91015625 
290,1.0 
300,1.1484375 
310,1.28125 
320,1.28125 
330,1.28125 
340,1.28125 
350,1.28125 
353,1.28125 
