time,connect,request 
0,11.541,302.206 
10,11.541,311.181 
20,11.541,311.181 
30,11.541,358.948 
40,11.541,559.96 
50,11.541,559.96 
60,11.541,559.96 
70,11.541,559.96 
80,11.541,559.96 
90,11.541,559.96 
100,11.541,559.96 
110,11.541,559.96 
120,11.541,572.108 
130,11.541,572.108 
140,11.541,572.108 
150,11.541,572.108 
160,11.541,572.108 
170,11.541,572.108 
180,18.236,572.108 
190,18.236,572.108 
200,18.236,572.108 
210,18.236,572.108 
220,18.236,758.12 
230,18.236,758.12 
240,21.5,1697.051 
250,21.5,2959.869 
260,21.5,4027.653 
270,21.5,4561.359 
280,21.5,7232.507 
290,21.5,7232.507 
300,21.5,7232.507 
310,21.5,7232.507 
320,21.5,7232.507 
330,21.5,7232.507 
340,21.5,7232.507 
350,21.5,7232.507 
