time,session 
0,3107.718666666666 
10,4117.557111111111 
20,3424.3638333333333 
30,4050.215 
40,4303.157277777777 
50,5218.574111111111 
60,3220.968758620691 
70,4102.767875000001 
80,6289.957394736841 
90,5956.896475 
100,3743.054525423727 
110,5500.418210526318 
120,5155.029499999999 
130,4531.163639097744 
140,5873.371304054055 
150,4671.546249999998 
160,4679.137830065359 
170,5162.166075268819 
180,4358.387472477066 
190,4627.956749565215 
200,5690.099393177741 
210,4644.790697191703 
220,4417.127044985938 
230,5621.620267206478 
240,5695.480008527125 
250,7619.876551818806 
260,10827.092827851646 
270,14188.621526823374 
280,13468.180725802104 
290,14946.879786663621 
300,18208.308530970196 
310,23563.770127373824 
320,28069.072198189137 
330,30077.37335294117 
340,0 
350,0 
