time,size_sent,size_rcv 
0,10.00234375,79.36484375 
10,40.0046875,295.809375 
20,54.41328125,391.61015625 
30,79.80234375,597.8328125 
40,126.48125,920.47578125 
50,176.67421875,1265.115625 
60,265.8109375,1937.953125 
70,391.64140625,2864.47578125 
80,489.81171875,3589.390625 
90,609.6953125,4537.275 
100,802.97421875,5978.3265625 
110,1067.59140625,7831.8890625 
120,1344.6046875,9883.38125 
130,1728.4453125,12789.2671875 
140,2177.5890625,16124.8171875 
150,2769.7125,20986.85 
160,3605.05390625,27740.13203125 
170,4428.33671875,34368.13984375 
180,5750.11328125,45697.76015625 
190,7441.2578125,60150.63046875 
200,9157.89453125,74699.43125 
210,11620.6375,97421.2484375 
220,14881.15,127403.328125 
230,18460.82421875,160417.52109375 
240,22704.8359375,202265.78828125 
250,28038.1015625,257240.08125 
260,33316.5609375,314905.9828125 
270,39266.1171875,373019.215625 
280,49185.38125,435968.8578125 
290,59760.98671875,515782.95 
300,67592.94609375,589074.9234375 
310,74096.43984375,658152.33359375 
320,75959.76015625,664658.2796875 
330,75987.31640625,664746.18671875 
340,75987.31640625,664746.18671875 
350,75987.31640625,664746.18671875 
