time,load@tsung_controller@ip-172-31-0-234 
0,0.4609375 
10,0.4609375 
20,0.4609375 
30,0.4609375 
40,0.4609375 
50,0.4609375 
60,0.4609375 
70,0.4609375 
80,0.4609375 
90,0.4609375 
100,0.4609375 
110,0.4609375 
120,0.4609375 
130,0.4609375 
140,0.4609375 
150,0.4609375 
160,0.4609375 
170,0.4609375 
180,0.4609375 
190,0.4609375 
200,0.4609375 
210,0.4609375 
220,0.4609375 
230,0.4609375 
240,0.4609375 
250,0.4609375 
260,0.4609375 
270,0.51953125 
280,0.51953125 
290,0.6015625 
300,0.80859375 
310,0.80859375 
320,0.80859375 
330,0.80859375 
340,0.80859375 
350,0.80859375 
