time,connect,request 
0,0.697,7.617 
10,0.663,7.617 
20,0.663,7.617 
30,0.642,7.617 
40,0.53,7.492 
50,0.53,6.661 
60,0.53,6.661 
70,0.53,6.649 
80,0.53,6.361 
90,0.523,6.258 
100,0.494,6.098 
110,0.494,5.443 
120,0.37,5.443 
130,0.37,5.443 
140,0.37,5.443 
150,0.37,5.118 
160,0.37,5.118 
170,0.37,5.118 
180,0.331,5.118 
190,0.331,5.118 
200,0.331,4.99 
210,0.331,4.99 
220,0.331,4.99 
230,0.331,4.99 
240,0.275,4.99 
250,0.275,0.396 
260,0.275,0.393 
270,0.275,0.393 
280,0.275,0.393 
290,0.275,0.39 
300,0.275,0.39 
310,0.275,0.39 
320,0.275,0.39 
330,0.275,0.39 
340,0.275,0.39 
350,0.275,0.39 
353,0.275,0.39 
