time,session 
0,2768.548 
10,8136.176 
20,19249.474 
30,19249.474 
40,19249.474 
50,19249.474 
60,19505.587 
70,20325.392 
80,20325.392 
90,20325.392 
100,20325.392 
110,22695.041 
120,22695.041 
130,22695.041 
140,22695.041 
150,22695.041 
160,22695.041 
170,23125.24 
180,23241.176 
190,23241.176 
200,23241.176 
210,23241.176 
220,23241.176 
230,23241.176 
240,24246.042 
250,28828.547 
260,31048.121 
270,34554.377 
280,37222.233 
290,37222.233 
300,37222.233 
310,37222.233 
320,37222.233 
330,37222.233 
340,37222.233 
350,37222.233 
353,37222.233 
