time,session 
0,2079.5384 
10,4405.650666666667 
20,6313.715333333333 
30,3793.4078181818186 
40,4301.037826086958 
50,4850.8320555555565 
60,5230.301624999998 
70,4316.623377777779 
80,4833.134399999999 
90,5963.359533333336 
100,4183.702146666667 
110,6124.081722222221 
120,4274.157070796461 
130,3759.411936619719 
140,5943.551553846153 
150,4973.127896396394 
160,4006.7598513011167 
170,5173.563697819314 
180,5324.502214285707 
190,4356.612321428572 
200,5006.891818032783 
210,4821.688646910471 
220,4785.155020164991 
230,6056.95545634267 
240,5979.335353421864 
250,8703.327996829415 
260,10110.27567174572 
270,9655.82565832107 
280,8023.444487012975 
290,8318.26928897591 
300,10717.867189030867 
310,18802.73910433508 
320,21721.990513245048 
330,0 
340,0 
350,0 
353,0 
