time,session 
0,1034.8064082162614 
10,2649.567379466861 
20,6234.321187515481 
30,4057.592934178628 
40,5000.007781494542 
50,4565.312418594865 
60,5861.126386096542 
70,4652.763627575768 
80,6215.177772968722 
90,6277.097708222703 
100,4953.3733596471775 
110,6336.063461755747 
120,5394.468083225673 
130,4305.015049558918 
140,6365.0657218858505 
150,6183.48307006162 
160,4797.984471620346 
170,6036.538162228232 
180,6278.577456050906 
190,5006.478464505838 
200,5813.806944104983 
210,5864.570567853713 
220,5369.850269638474 
230,6461.056948752798 
240,6199.154602841968 
250,6251.988002970669 
260,6458.630172056495 
270,8257.739003241708 
280,7170.968024126023 
290,7036.2107074532805 
300,7551.66658293534 
310,5246.62788224711 
320,1860.4231518652534 
330,0 
340,0 
350,0 
353,0 
