time,size_sent,size_rcv 
0,11.46875,110.45625 
10,15.37109375,103.925 
20,24.05390625,166.60234375 
30,38.06484375,254.746875 
40,46.86640625,397.2171875 
50,73.99921875,526.74765625 
60,95.3296875,707.71015625 
70,146.890625,1130.915625 
80,113.0140625,833.15234375 
90,150.00625,1107.328125 
100,204.41875,1605.6484375 
110,237.2203125,1620.27421875 
120,334.12265625,2752.7109375 
130,411.90703125,3285.40703125 
140,416.92890625,3032.76171875 
150,659.0390625,5431.640625 
160,813.73671875,6588.2203125 
170,987.3734375,7825.5890625 
180,1342.32109375,11353.3859375 
190,1722.475,14772.653125 
200,1760.20546875,15252.93515625 
210,2413.24140625,22542.95 
220,3389.9515625,31494.40078125 
230,3569.97421875,34227.84453125 
240,3445.178125,33045.20625 
250,4759.125,35889.33203125 
260,5862.88359375,43719.1140625 
270,7726.9453125,44523.7 
280,9437.78046875,49854.09453125 
290,9677.928125,50582.859375 
300,7701.3921875,55420.8953125 
310,2952.009375,10963.4703125 
320,425.84140625,1400.65546875 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
