time,page 
0,588.191 
10,588.191 
20,588.191 
30,588.191 
40,588.191 
50,588.191 
60,588.191 
70,588.191 
80,588.191 
90,588.191 
100,588.191 
110,588.191 
120,588.191 
130,588.191 
140,588.191 
150,588.191 
160,588.191 
170,588.191 
180,588.191 
190,612.561 
200,612.561 
210,849.798 
220,1544.992 
230,1544.992 
240,6497.542 
250,12687.844 
260,14192.161 
270,14192.161 
280,14192.161 
290,14192.161 
300,14192.161 
310,14192.161 
320,14192.161 
330,14192.161 
340,14192.161 
350,14192.161 
353,14192.161 
