time,load@tsung_controller@ip-172-31-0-234 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.0 
60,0.0 
70,0.0 
80,0.0 
90,0.0 
100,0.0 
110,0.0 
120,0.1484375 
130,0.1484375 
140,0.1484375 
150,0.1484375 
160,0.1484375 
170,0.1484375 
180,0.1484375 
190,0.1484375 
200,0.1484375 
210,0.16015625 
220,0.2890625 
230,0.3203125 
240,0.5 
250,0.73828125 
260,0.9296875 
270,1.01953125 
280,1.01953125 
290,1.171875 
300,1.171875 
310,1.171875 
320,1.171875 
330,1.171875 
340,1.171875 
350,1.171875 
353,1.171875 
