time,load@tsung_controller@ip-172-31-0-234 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.0 
60,0.0 
70,0.0 
80,0.0 
90,0.0 
100,0.0 
110,0.0 
120,0.1484375 
130,0.12109375 
140,0.1015625 
150,0.08984375 
160,0.0703125 
170,0.05859375 
180,0.05078125 
190,0.12109375 
200,0.1015625 
210,0.16015625 
220,0.2890625 
230,0.3203125 
240,0.5 
250,0.73828125 
260,0.9296875 
270,1.01953125 
280,1.01171875 
290,1.171875 
300,1.140625 
310,1.12109375 
320,1.01953125 
330,0.859375 
340,0.73046875 
350,0.62109375 
353,0.51953125 
