time,connect,request 
0,13.796,275.343 
10,13.796,275.343 
20,13.796,275.343 
30,13.796,275.343 
40,13.796,275.343 
50,13.796,293.385 
60,13.796,293.385 
70,13.796,293.385 
80,13.796,293.385 
90,13.796,293.385 
100,13.796,293.385 
110,13.796,293.385 
120,13.796,487.75 
130,13.796,487.75 
140,13.796,487.75 
150,13.796,487.75 
160,13.796,506.977 
170,13.796,506.977 
180,19.136,929.767 
190,19.136,929.767 
200,19.136,1071.915 
210,20.81,2649.47 
220,20.81,5018.58 
230,20.81,5293.237 
240,20.81,5293.237 
250,115.18,5293.237 
260,115.18,5293.237 
270,115.18,5293.237 
280,115.18,5293.237 
290,115.18,5293.237 
300,115.18,5293.237 
310,115.18,5293.237 
320,115.18,5293.237 
330,115.18,5293.237 
340,115.18,5293.237 
350,115.18,5293.237 
353,115.18,5293.237 
