time,session 
0,6104.097 
10,6704.834 
20,15219.848 
30,19341.661 
40,19728.457 
50,19728.457 
60,20853.273 
70,20853.273 
80,21808.055 
90,21808.055 
100,22856.511 
110,22856.511 
120,22856.511 
130,22856.511 
140,22856.511 
150,22856.511 
160,22856.511 
170,22856.511 
180,22856.511 
190,22856.511 
200,22856.511 
210,24465.755 
220,29822.936 
230,33291.538 
240,34774.123 
250,39115.558 
260,43021.678 
270,43021.678 
280,43021.678 
290,43021.678 
300,43021.678 
310,43021.678 
320,43021.678 
330,43021.678 
340,43021.678 
350,43021.678 
353,43021.678 
