time,session 
0,3393.935 
10,3405.8161428571425 
20,3962.128636363636 
30,4741.275142857144 
40,4708.421277777776 
50,4393.696933333332 
60,4699.241272727274 
70,3454.1127499999993 
80,5760.175970588235 
90,3943.921249999998 
100,5223.809518987337 
110,5721.610029850745 
120,4055.974938053095 
130,4114.617183823528 
140,5002.01430263158 
150,4709.9537788461585 
160,4222.817262068967 
170,5531.190816993469 
180,4319.332244498779 
190,4637.245167910446 
200,6002.314117001815 
210,6185.97099166666 
220,9799.170250440915 
230,11756.386119574128 
240,11001.688119075128 
250,10360.69829657388 
260,9956.43151848388 
270,7435.971475081089 
280,6431.344612632026 
290,7189.351531889515 
300,9921.694054287307 
310,18505.730496279743 
320,21599.155225190825 
330,0 
340,0 
350,0 
353,0 
