time,session 
0,1621.6491208094308 
10,1967.8658492058582 
20,4213.552997192194 
30,6095.586893661978 
40,5204.095784437344 
50,4903.36462207923 
60,5826.311357126965 
70,3522.502079159181 
80,7006.810512914986 
90,4993.9173686866225 
100,5960.22777648677 
110,6734.951399703111 
120,5331.278813648435 
130,4757.506864015005 
140,5732.477390587762 
150,5650.9025226001895 
160,5079.106048342474 
170,6326.2536076631895 
180,5164.027910457173 
190,5216.822642884545 
200,6167.443553089342 
210,6483.501533648255 
220,6799.313780093249 
230,7285.565106319022 
240,8515.170057460404 
250,8263.262252616505 
260,8095.081556924057 
270,7409.498686686676 
280,6469.31218784846 
290,6922.411707343204 
300,7453.4180671921495 
310,4522.242085141646 
320,1868.9688196468037 
330,0 
340,0 
350,0 
353,0 
