time,size_sent,size_rcv 
0,16.184375,158.2671875 
10,26.9484375,259.06328125 
20,32.91328125,339.08671875 
30,47.40078125,504.8125 
40,51.9703125,475.65390625 
50,45.96640625,414.771875 
60,60.6359375,600.0796875 
70,108.6234375,1146.1625 
80,90.69140625,902.37734375 
90,130.80078125,1349.725 
100,233.33828125,2216.30625 
110,180.35390625,1777.99609375 
120,292.40390625,3146.56015625 
130,429.67109375,4486.43359375 
140,458.95859375,4399.7390625 
150,599.39453125,6073.92578125 
160,868.26015625,9053.76015625 
170,863.753125,8766.52890625 
180,1252.72421875,13819.528125 
190,1648.09375,17758.603125 
200,1721.79140625,17266.90078125 
210,1784.91875,17278.96796875 
220,2113.23671875,16679.40703125 
230,3278.50234375,23725.70390625 
240,3642.140625,21070.890625 
250,4172.13125,25457.06015625 
260,4451.95625,23113.8 
270,5960.1046875,25694.190625 
280,7440.08046875,29698.74765625 
290,7789.17109375,28711.65390625 
300,5834.93203125,30905.55 
310,2712.1984375,11059.03046875 
320,365.75703125,1108.50625 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
