time,freemem@tsung_controller@ip-172-31-44-199 
0,691.88671875 
10,693.96875 
20,690.13671875 
30,688.66796875 
40,686.16015625 
50,687.73046875 
60,687.3671875 
70,684.3125 
80,680.28125 
90,671.00390625 
100,665.9375 
110,668.0234375 
120,667.5625 
130,659.8125 
140,646.359375 
150,635.51953125 
160,610.8046875 
170,606.9296875 
180,602.9296875 
190,536.53515625 
200,507.625 
210,500.58203125 
220,357.77734375 
230,220.76953125 
240,161.79296875 
250,161.53515625 
260,135.9609375 
270,167.19140625 
280,134.64453125 
290,78.6015625 
300,55.2109375 
310,92.0390625 
320,550.43359375 
330,675.69140625 
340,681.359375 
350,681.53125 
353,683.0078125 
