time,load@tsung_controller@ip-172-31-44-199 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.0 
60,0.0 
70,0.0 
80,0.0 
90,0.0 
100,0.0 
110,0.0 
120,0.078125 
130,0.078125 
140,0.078125 
150,0.2109375 
160,0.2109375 
170,0.2109375 
180,0.2109375 
190,0.2109375 
200,0.2109375 
210,0.2109375 
220,0.2109375 
230,0.2109375 
240,0.2109375 
250,0.26953125 
260,0.53125 
270,0.53125 
280,0.5390625 
290,0.62109375 
300,0.828125 
310,0.828125 
320,0.828125 
330,0.828125 
340,0.828125 
350,0.828125 
353,0.828125 
