time,session 
0,500.8003092384827 
10,590.940439731019 
20,408.13200712249954 
30,711.2320831833063 
40,519.5192637274749 
50,562.1428297202182 
60,635.7483805657987 
70,558.1056722853496 
80,515.3098296208151 
90,489.4188135230322 
100,569.945544173283 
110,579.6160886185321 
120,572.3339179329588 
130,600.2355443694677 
140,556.6504316419977 
150,593.4279572199781 
160,587.8616037029124 
170,579.3888170265299 
180,1026.3898571757861 
190,2253.063767547268 
200,3856.608990021663 
210,5358.510271222615 
220,5004.227250623417 
230,5049.020011409655 
240,4987.474911875966 
244,1471.1832837261745 
