time,size_sent,size_rcv 
0,12.63125,50.128125 
10,21.7625,89.3734375 
20,23.56328125,104.0171875 
30,14.90625,61.06796875 
40,54.50234375,230.93671875 
50,58.50546875,260.70078125 
60,64.278125,277.88046875 
70,115.959375,547.56796875 
80,68.9,328.9140625 
90,103.43046875,492.859375 
100,188.9625,950.68125 
110,180.19375,966.4046875 
120,266.84375,1441.0171875 
130,365.50625,2151.959375 
140,339.70859375,2146.61015625 
150,560.24609375,3706.0046875 
160,714.31875,5353.76484375 
170,710.33125,5851.50078125 
180,906.1140625,7990.6890625 
190,1036.00703125,9365.42578125 
200,1132.809375,10133.85859375 
210,1426.471875,11490.465625 
220,1757.09296875,14032.16484375 
230,1759.35859375,15543.70703125 
240,1414.0359375,21419.33203125 
244,225.89296875,3491.07265625 
