time,connect,request 
0,28.906,245.993 
10,28.906,292.997 
20,28.906,292.997 
30,28.906,292.997 
40,28.906,292.997 
50,28.906,292.997 
60,28.906,292.997 
70,28.906,292.997 
80,28.906,292.997 
90,28.906,465.611 
100,32.409,540.22 
110,32.409,557.64 
120,32.409,2688.766 
130,32.409,2872.978 
140,32.409,3593.989 
150,32.409,4085.166 
160,32.409,6424.664 
170,32.409,6523.794 
180,32.409,6523.794 
190,32.409,6523.794 
200,32.409,6725.201 
210,32.409,6725.201 
220,32.409,6725.201 
230,32.409,7031.46 
241,32.409,7031.46 
243,32.409,7031.46 
