time,page 
0,94.03563139366837 
10,98.16314305461991 
20,78.44274221790837 
30,97.47604502111882 
40,92.1972663100882 
50,88.29260254629598 
60,97.29512147436186 
70,91.37193870500323 
80,93.18596856223279 
90,109.72578806336794 
100,109.88525776872152 
110,109.16056303058541 
120,649.2990608556778 
130,815.8644561739451 
140,1032.3224120294103 
150,1021.6637927325802 
160,2521.7973901064174 
170,2554.88967492769 
180,2175.43114404353 
190,2062.3308215797188 
200,2006.8913395761315 
210,1622.2620130547152 
220,1589.8515059972688 
230,1517.0158658981463 
241,1821.708268423447 
243,1206.9559192932395 
