time,session 
0,2139.2542222222223 
10,2574.3387500000003 
20,2361.4133333333334 
30,2439.287 
40,2399.18025 
50,2716.967105263159 
60,3104.7726071428574 
70,3972.293999999999 
80,4340.071916666668 
90,5421.291666666667 
100,10223.084258064515 
110,17541.218666666664 
120,14271.692404494377 
130,13172.813226190474 
140,14007.815820000003 
150,11244.936539748958 
160,8624.802097402608 
170,9541.377538732399 
180,5583.905840155948 
190,4867.4216065318815 
200,5411.773597503896 
210,4041.0117195004786 
220,3711.9683061403484 
230,3488.914854693874 
240,4310.193925925927 
250,24457.76008474576 
260,31668.797810606065 
262,0 
