time,session 
0,550.2734714498839 
10,465.6850416651661 
20,554.9287536127698 
30,585.8026845209912 
40,572.370165951485 
50,565.870477200801 
60,719.0395898163317 
70,1135.5845467785277 
80,1461.2743637435594 
90,1576.4592201238684 
100,1752.7205883843699 
110,2728.790778166688 
120,9749.496531053574 
130,11589.78300525125 
140,12802.589865326743 
150,12149.356212127026 
160,10971.419051516645 
170,11555.133109065542 
180,7938.499133028827 
190,6719.172733774732 
200,8070.308437463283 
210,6039.738095170591 
220,5281.538245600343 
230,4773.379407441755 
240,5819.38407957013 
250,4542.129831746572 
260,7940.143335536219 
262,0 
