time,size_sent,size_rcv 
0,21.240625,2771.60859375 
10,17.275,2177.35703125 
20,16.684375,2179.53984375 
30,41.36640625,5265.92109375 
40,64.428125,9039.48046875 
50,41.4546875,5892.84140625 
60,66.76953125,8501.96796875 
70,101.8359375,12975.71171875 
80,102.8234375,15535.878125 
90,77.815625,8636.5953125 
100,119.28515625,12859.59453125 
110,103.853125,13237.01953125 
120,142.86796875,13659.0515625 
130,214.37421875,14552.7484375 
140,179.4515625,15812.0453125 
150,237.89140625,18226.40078125 
160,288.8171875,20375.60390625 
170,279.57109375,13810.1359375 
180,420.42265625,19288.58359375 
190,502.41328125,17475.83046875 
200,489.5890625,22286.68046875 
210,771.31015625,20585.86875 
220,823.0125,17636.6578125 
230,850.33515625,18716.55703125 
240,278.09609375,15772.8 
250,90.66875,19123.68203125 
260,117.74453125,23593.49921875 
262,0,0 
