time,size_sent,size_rcv 
0,21.240625,2771.60859375 
10,38.515625,4948.965625 
20,55.2,7128.50546875 
30,96.56640625,12394.4265625 
40,160.99453125,21433.90703125 
50,202.44921875,27326.7484375 
60,269.21875,35828.71640625 
70,371.0546875,48804.428125 
80,473.878125,64340.30625 
90,551.69375,72976.9015625 
100,670.97890625,85836.49609375 
110,774.83203125,99073.515625 
120,917.7,112732.5671875 
130,1132.07421875,127285.315625 
140,1311.52578125,143097.3609375 
150,1549.4171875,161323.76171875 
160,1838.234375,181699.365625 
170,2117.80546875,195509.5015625 
180,2538.228125,214798.08515625 
190,3040.64140625,232273.915625 
200,3530.23046875,254560.59609375 
210,4301.540625,275146.46484375 
220,5124.553125,292783.12265625 
230,5974.88828125,311499.6796875 
240,6252.984375,327272.4796875 
250,6343.653125,346396.16171875 
260,6461.39765625,369989.6609375 
262,6461.39765625,369989.6609375 
