time,freemem@tsung_controller@ip-172-31-52-223 
0,670.5234375 
10,669.9453125 
20,669.38671875 
30,669.18359375 
40,668.8828125 
50,665.17578125 
60,666.0390625 
70,666.39453125 
80,661.78515625 
90,662.703125 
100,656.296875 
110,645.56640625 
120,631.8046875 
130,625.8984375 
140,617.3359375 
150,622.40234375 
160,625.44921875 
170,625.3359375 
180,624.30078125 
190,621.96484375 
200,616.44140625 
210,625.38671875 
220,615.390625 
230,617.046875 
240,616.46875 
250,622.44921875 
260,623.73046875 
262,649.03125 
