time,size_sent,size_rcv 
0,16.66171875,92.83828125 
10,23.55234375,136.5734375 
20,28.8140625,168.18828125 
30,29.29765625,169.3203125 
40,42.4984375,250.46640625 
50,47.64296875,281.4375 
60,90.6671875,557.8234375 
70,71.8390625,444.9359375 
80,93.5015625,594.178125 
90,140.634375,894.89765625 
100,184.7171875,1239.71015625 
110,184.15546875,1289.99609375 
120,275.5796875,1977.584375 
130,371.625,2795.99453125 
140,368.81484375,2926.7109375 
150,581.85546875,4905.5609375 
160,730.5625,6663.61875 
170,777.18046875,7799.91484375 
180,882.53671875,8787.79765625 
190,941.1890625,9701.2921875 
200,998.19921875,10696.09609375 
210,1445.18515625,10067.840625 
220,1682.65546875,13303.83203125 
230,1777.1671875,14972.975 
240,1215.9515625,18990.240625 
250,715.2171875,14641.65 
260,0,0 
270,0,0 
280,0,0 
290,0,0 
292,0,0 
