time,page 
0,105.61858823529411 
10,72.7038947368421 
20,73.43379166666668 
30,84.06583333333334 
40,80.04938157894736 
50,78.32588235294122 
60,75.92707051282053 
70,82.21053435114509 
80,75.37922981366457 
90,79.80335039370075 
100,81.02847094801226 
110,76.03848089171973 
120,81.76490669371192 
130,82.3317893939395 
140,79.48017289719627 
150,84.48515160349862 
160,90.90171205007819 
170,95.44039955522624 
180,586.9592766514056 
190,2448.241994949493 
200,4171.944283276439 
210,2696.7549856591304 
220,2567.7865170929954 
230,2347.3176417050727 
240,4205.993786545919 
250,3132.098219754973 
260,0 
270,0 
280,0 
290,0 
292,0 
