time,page 
0,108.54500999886626 
10,94.2263801850543 
20,95.92831758856853 
30,102.2872234256991 
40,100.75200842453752 
50,100.55935966914522 
60,98.19826885263956 
70,102.45163606033658 
80,98.25067260802112 
90,101.89638703569624 
100,104.0435932265743 
110,98.77534579927098 
120,102.1008382078514 
130,102.93471491451714 
140,100.99168772318478 
150,104.49404528095451 
160,109.45890163059767 
170,118.04963655532083 
180,724.6458581715597 
190,1482.9030171985048 
200,2026.5880759447916 
210,3550.2728612163987 
220,3381.510422806243 
230,3029.084482355358 
240,2725.639353298723 
250,2781.165730528574 
260,0 
270,0 
280,0 
290,0 
292,0 
