time,connect,request 
0,13.361,228.761 
10,13.361,255.331 
20,13.361,255.331 
30,13.361,756.169 
40,13.361,756.169 
50,13.361,756.169 
60,13.361,756.169 
70,13.361,756.169 
80,13.361,1194.077 
90,13.361,2071.513 
100,13.361,2997.787 
110,13.361,3065.283 
120,22.024,3376.997 
130,22.024,7039.855 
140,22.024,8716.294 
150,22.024,8716.294 
160,22.024,8716.294 
170,22.024,8716.294 
180,22.024,8716.294 
190,22.024,8716.294 
200,22.024,8716.294 
210,22.024,8716.294 
220,22.024,8716.294 
230,22.024,8716.294 
240,22.024,8716.294 
249,22.024,8716.294 
