time,size_sent,size_rcv 
0,3.459375,11.8828125 
10,26.4703125,102.9421875 
20,59.7125,251.02734375 
30,97.0390625,404.7109375 
40,165.88046875,706.8890625 
50,198.0453125,855.75 
60,246.85,1063.29609375 
70,356.52109375,1572.3640625 
80,464.95546875,2098.4359375 
90,533.03671875,2368.9296875 
100,699.62578125,3233.678125 
110,862.11796875,4043.20390625 
120,1025.984375,4806.75390625 
130,1206.81015625,5456.96875 
140,1429.290625,6286.11875 
150,1728.95859375,7619.58828125 
160,2075.71328125,8706.9359375 
170,2408.45625,10066.61875 
180,2866.54453125,11638.66796875 
190,3410.78828125,13195.409375 
200,3953.02578125,15002.76328125 
210,4701.33359375,17057.7015625 
220,5690.5671875,19680.40234375 
230,6664.0375,22445.3171875 
240,7198.1359375,24284.69453125 
249,7377.19609375,25759.56796875 
