time,page 
0,94.48844387203853 
10,99.26282884452236 
20,80.97697951427874 
30,138.10865147540835 
40,110.90200812801135 
50,84.38937001562824 
60,138.7443592898717 
70,143.63895918836826 
80,285.0704574031796 
90,540.2489863156688 
100,889.1630987710045 
110,777.0879899160066 
120,921.0022799009844 
130,2686.1038536547394 
140,3929.226820918246 
150,3827.9801688559805 
160,3026.299502919768 
170,3018.1484288632073 
180,2703.8501810795638 
190,2257.743515669107 
200,2484.792335326113 
210,1854.8173067360342 
220,1549.5472522418634 
230,1563.3961492078065 
240,2139.7930142571463 
249,2579.6541664251727 
