time,freemem@tsung_controller@ip-172-31-50-238 
0,659.7109375 
10,661.63671875 
20,661.63671875 
30,661.63671875 
40,661.63671875 
50,661.63671875 
60,661.63671875 
70,661.63671875 
80,661.63671875 
90,661.63671875 
100,661.63671875 
110,661.63671875 
120,661.63671875 
130,661.63671875 
140,661.63671875 
150,661.63671875 
160,661.63671875 
170,661.63671875 
180,661.63671875 
190,661.63671875 
200,661.63671875 
210,661.63671875 
220,661.63671875 
230,661.63671875 
240,661.63671875 
249,661.63671875 
