time,connect,request 
0,12.476,231.994 
10,12.476,231.994 
20,12.476,457.843 
30,12.476,457.843 
40,12.476,457.843 
50,12.476,457.843 
60,12.476,457.843 
70,12.476,470.108 
80,12.476,789.933 
90,12.476,1285.958 
100,12.476,2552.224 
110,12.476,2552.224 
120,12.476,4778.835 
130,18.414,5889.075 
140,18.414,9423.348 
150,18.414,9670.827 
160,18.414,9670.827 
170,18.414,9670.827 
180,18.414,9670.827 
190,18.414,9670.827 
200,18.414,9670.827 
210,18.414,9670.827 
220,18.414,9670.827 
230,18.414,9670.827 
240,18.414,9670.827 
247,18.414,9670.827 
