time,size_sent,size_rcv 
0,10.378125,39.48203125 
10,17.78671875,73.925 
20,23.028125,94.56484375 
30,41.45625,167.6953125 
40,50.615625,220.33203125 
50,44.2125,185.5421875 
60,36.21953125,159.95859375 
70,70.375,310.73984375 
80,89.77578125,407.2046875 
90,144.2875,661.86171875 
100,166.4625,787.37890625 
110,158.7203125,830.88671875 
120,163.34921875,752.0484375 
130,178.62421875,706.35078125 
140,227.84140625,739.384375 
150,304.003125,1146.66796875 
160,364.09609375,1483.53203125 
170,363.6328125,1560.9109375 
180,473.37890625,1617.3171875 
190,579.3953125,1738.97109375 
200,552.85859375,1788.8890625 
210,879.81171875,2175.81875 
220,990.671875,2919.81796875 
230,948.90234375,2486.6484375 
240,359.5921875,1730.42109375 
247,141.115625,1136.33984375 
