time,size_sent,size_rcv 
0,10.378125,39.48203125 
10,28.16484375,113.40703125 
20,51.19296875,207.971875 
30,92.64921875,375.6671875 
40,143.26484375,595.99921875 
50,187.47734375,781.54140625 
60,223.696875,941.5 
70,294.071875,1252.23984375 
80,383.84765625,1659.44453125 
90,528.13515625,2321.30625 
100,694.59765625,3108.68515625 
110,853.31796875,3939.571875 
120,1016.6671875,4691.6203125 
130,1195.29140625,5397.97109375 
140,1423.1328125,6137.35546875 
150,1727.1359375,7284.0234375 
160,2091.23203125,8767.55546875 
170,2454.86484375,10328.46640625 
180,2928.24375,11945.78359375 
190,3507.6390625,13684.7546875 
200,4060.49765625,15473.64375 
210,4940.309375,17649.4625 
220,5930.98125,20569.28046875 
230,6879.88359375,23055.92890625 
240,7239.47578125,24786.35 
247,7380.59140625,25922.68984375 
