time,session 
0,349.66668166734166 
10,1901.9193079693323 
20,1598.8884833245957 
30,1266.2167265352614 
40,1440.0665022187861 
50,2455.66745590314 
60,2706.098516607687 
70,3079.9095596229045 
80,2585.0156328432163 
90,2904.721400254921 
100,1843.6910487451823 
110,2466.9158082167273 
120,2331.407849790444 
130,2398.121945899519 
140,7426.08630830816 
150,8861.917978496396 
160,10701.646064512128 
170,9894.313574715763 
180,8495.98933640799 
190,8766.326373519627 
200,7808.9815716694975 
210,6773.943301391643 
220,6406.497885362443 
230,5362.653770985152 
240,5066.260489867501 
250,3698.265455963428 
260,5244.280850672828 
270,3325.6223668900857 
280,3090.3484012894532 
290,3455.525129407149 
300,5496.023101899748 
310,3548.47660001869 
320,2386.433505733917 
323,0 
