time,size_sent,size_rcv 
0,0.675,12626.85859375 
10,1.85625,34811.17734375 
20,2.53125,75769.25546875 
30,3.459375,90444.1375 
40,4.978125,118227.31171875 
50,7.003125,147721.76875 
60,10.209375,174234.50546875 
70,13.078125,207587.55078125 
80,16.115625,245079.15625 
90,22.10625,270372.6328125 
100,28.0125,305830.1203125 
110,35.775,336978.99765625 
120,46.2375,364095.48515625 
130,60.159375,409673.1953125 
140,75.009375,434147.5703125 
150,96.271875,464178.35703125 
160,124.70625,505580.68671875 
170,151.115625,530165.078125 
180,194.4,561960.78125 
190,249.834375,599628.734375 
200,299.025,623454.84375 
210,390.571875,656980.13828125 
220,492.328125,696536.5125 
230,593.240625,722563.98828125 
240,761.653125,759396.703125 
250,971.15625,789532.14296875 
260,1175.175,817100.36484375 
270,1530.39375,856984.9125 
280,1947.965625,883523.57890625 
290,2371.696875,923826.5484375 
300,2490.328125,953479.9453125 
310,2490.328125,990175.2375 
320,2490.328125,1021827.64375 
323,2490.328125,1021827.64375 
