time,page 
0,1474.52 
10,4052.2311428571434 
20,6460.492999999998 
30,1619.6718 
40,6041.892454545456 
50,9340.969333333334 
60,8510.92426923077 
70,8746.14635555556 
80,10056.47474074074 
90,9543.118833333334 
100,8741.826580246914 
110,8879.67563013699 
120,9048.87285507247 
130,10640.783398230098 
140,5793.569242424242 
150,5549.494873517791 
160,6528.653499999993 
170,5080.311165079366 
180,3339.608913894325 
190,3590.225676291797 
200,2689.8766802721084 
210,1939.2925940685761 
220,1722.5176948590372 
230,1294.8691732217583 
240,1129.4764356534815 
250,505.58733091495264 
260,870.5707438016524 
270,531.1127828978632 
280,360.9952268686854 
290,443.2547030472029 
300,1308.4474147339668 
310,24382.121197674427 
320,25624.878851063837 
323,0 
