time,page 
0,110.59984339410248 
10,1438.9737568089904 
20,1648.3912473570167 
30,340.56667311902385 
40,1725.8553184993316 
50,2372.5048440646765 
60,2469.5849613076775 
70,3201.7851818064887 
80,2638.685091258152 
90,2904.70167315352 
100,1843.6691581388504 
110,2516.7964256379933 
120,2281.2550129372908 
130,2398.110888190495 
140,7444.0123010755415 
150,8926.563681701162 
160,10681.689463703926 
170,9848.15616360655 
180,8524.11838384949 
190,8749.71071104665 
200,7814.842500591801 
210,6768.179354035626 
220,6404.033826768602 
230,5424.223020160111 
240,5158.899874018898 
250,3620.3524092250323 
260,4839.648806039452 
270,3767.2603191343287 
280,3075.842073997419 
290,3273.5424789673903 
300,5486.911846821646 
310,3544.55812270546 
320,2386.427973644182 
323,0 
