time,users_count,finish_users_count 
0,0.9,0.6 
10,1.5,0.9 
20,0.6,1.5 
30,1.2,0.7 
40,1.8,1 
50,2.5,1.4 
60,3.8,2.9 
70,3.3,4.3 
80,3.6,2.6 
90,7.3,3.6 
100,6.9,8.1 
110,9.2,7.6 
120,12.8,6.6 
130,16.3,11.3 
140,17.4,16.7 
150,25.9,25.9 
160,33.4,33.4 
170,31,31.1 
180,51.6,51.5 
190,65.4,65.5 
200,58.6,58.9 
210,108.1,107.7 
220,120.5,120.5 
230,125.4,125.4 
240,205.7,205.8 
250,245.8,245.6 
260,242,241.9 
270,434.2,434.3 
280,490.2,490.3 
290,504.1,504 
300,120.5,126.7 
310,0,8.5 
320,0,4.7 
323,0,0 
