time,users_count,finish_users_count 
0,9,6 
10,24,15 
20,30,30 
30,42,37 
40,60,47 
50,85,61 
60,123,90 
70,156,133 
80,192,159 
90,265,195 
100,334,276 
110,426,352 
120,554,418 
130,717,531 
140,891,698 
150,1150,957 
160,1484,1291 
170,1794,1602 
180,2310,2117 
190,2964,2772 
200,3550,3361 
210,4631,4438 
220,5836,5643 
230,7090,6897 
240,9147,8955 
250,11605,11411 
260,14025,13830 
270,18367,18173 
280,23269,23076 
290,28310,28116 
300,29515,29383 
310,29515,29468 
320,29515,29515 
323,29515,29515 
