time,freemem@tsung_controller@ip-172-31-59-214 
0,661.97265625 
10,662.546875 
20,662.546875 
30,662.546875 
40,662.546875 
50,662.546875 
60,662.546875 
70,662.546875 
80,662.546875 
90,662.546875 
100,662.546875 
110,664.71875 
120,664.71875 
130,664.71875 
140,664.71875 
150,664.71875 
160,664.71875 
170,664.71875 
180,664.71875 
190,664.71875 
200,664.71875 
210,664.71875 
220,664.71875 
230,664.71875 
240,664.71875 
250,664.71875 
260,664.71875 
270,664.71875 
280,664.71875 
290,664.71875 
300,664.71875 
310,664.71875 
320,664.71875 
323,664.71875 
