time,load@tsung_controller@ip-172-31-59-214 
0,0.19140625 
10,0.19140625 
20,0.19140625 
30,0.19140625 
40,0.19140625 
50,0.19140625 
60,0.19140625 
70,0.19140625 
80,0.19140625 
90,0.19140625 
100,0.19140625 
110,0.19140625 
120,0.19140625 
130,0.19140625 
140,0.19140625 
150,0.19140625 
160,0.19140625 
170,0.19140625 
180,0.19140625 
190,0.19140625 
200,0.19140625 
210,0.19140625 
220,0.19140625 
230,0.19140625 
240,0.19140625 
250,0.19140625 
260,0.19140625 
270,0.19140625 
280,0.19140625 
290,0.19140625 
300,0.26171875 
310,0.26171875 
320,0.26171875 
323,0.26171875 
