time,connect,request 
0,10.04,87.231 
10,10.04,108.785 
20,10.04,108.785 
30,10.04,116.489 
40,10.04,116.489 
50,10.04,116.489 
60,10.04,116.489 
70,10.04,116.489 
80,10.04,116.489 
90,10.04,160.951 
100,10.04,160.951 
110,10.04,203.148 
120,10.04,226.15 
130,10.04,396.453 
140,10.04,396.453 
150,10.04,2611.609 
160,10.04,4815.25 
170,10.04,7105.065 
180,10.04,8235.181 
190,10.04,8333.458 
200,15.754,8341.899 
210,15.754,8539.65 
220,15.754,8609.146 
230,15.754,8609.146 
240,15.754,8609.146 
250,15.754,8609.146 
260,15.754,8609.146 
270,15.754,8609.146 
