time,freemem@tsung_controller@ip-172-31-59-214 
0,671.90234375 
10,673.23046875 
20,673.23046875 
30,673.23046875 
40,673.23046875 
50,673.23046875 
60,673.23046875 
70,673.23046875 
80,673.23046875 
90,673.23046875 
100,673.23046875 
110,673.23046875 
120,673.23046875 
130,673.23046875 
140,673.23046875 
150,673.23046875 
160,673.23046875 
170,673.23046875 
180,673.23046875 
190,673.23046875 
200,673.23046875 
210,673.23046875 
220,673.23046875 
230,673.23046875 
240,673.23046875 
250,673.23046875 
260,673.23046875 
270,673.23046875 
