time,freemem@tsung_controller@ip-172-31-59-214 
0,671.90234375 
10,673.23046875 
20,672.9765625 
30,672.98828125 
40,672.97265625 
50,672.96875 
60,672.83984375 
70,672.9609375 
80,672.72265625 
90,673.09375 
100,672.48828125 
110,673.08984375 
120,672.61328125 
130,672.61328125 
140,672.26171875 
150,671.8671875 
160,665.67578125 
170,660.83203125 
180,660.96875 
190,660.62890625 
200,660.91796875 
210,659.1015625 
220,656.9921875 
230,657.94921875 
240,656.6796875 
250,656.10546875 
260,654.7421875 
270,652.37109375 
