time,connect,request 
0,12.951,41.86 
10,12.951,41.86 
20,12.951,41.86 
30,12.951,41.86 
40,12.951,41.86 
50,12.951,41.86 
60,12.951,47.932 
70,12.951,52.055 
80,12.951,52.055 
90,12.951,52.055 
100,12.951,67.237 
110,12.951,67.237 
120,12.951,67.237 
130,13.361,67.237 
140,13.361,67.237 
150,13.361,68.13 
160,13.361,75.986 
170,13.361,75.986 
180,21.826,123.057 
190,21.826,147.05 
200,21.826,240.937 
210,21.826,1405.237 
220,21.826,2340.403 
230,21.826,2340.403 
240,21.925,2340.403 
250,21.925,2340.403 
260,21.925,2340.403 
270,21.925,2340.403 
280,21.925,2340.403 
290,21.925,2340.403 
300,21.925,2340.403 
