time,connect,request 
0,1.17,20.59 
10,1.12,20.009 
20,1.095,19.172 
30,1.086,19.172 
40,1.086,19.172 
50,1.051,19.172 
60,1.051,19.172 
70,0.972,19.172 
80,0.972,18.67 
90,0.963,18.67 
100,0.963,18.61 
110,0.949,18.43 
120,0.949,17.478 
130,0.949,17.478 
140,0.936,17.478 
150,0.87,17.478 
160,0.87,17.248 
170,0.87,17.248 
180,0.858,17.248 
190,0.825,17.19 
200,0.825,17.183 
210,0.79,17.183 
220,0.782,1.464 
230,0.782,1.464 
240,0.716,1.407 
250,0.716,1.376 
260,0.709,1.376 
270,0.683,1.353 
280,0.683,1.348 
290,0.683,1.348 
300,0.683,1.315 
