time,page 
0,7.662589263572868 
10,5.512893923314889 
20,8.045674685126716 
30,6.334364468109152 
40,6.33112445886039 
50,5.720812261903935 
60,6.874680060095118 
70,6.381351765430789 
80,7.909655361546019 
90,5.950471092260963 
100,7.007394089965204 
110,5.769456521888217 
120,7.6496799133874855 
130,7.200847467755275 
140,7.764736756048149 
150,9.716967846757345 
160,10.563258976143413 
170,8.409677510323434 
180,16.537343311387772 
190,18.124855892346098 
200,23.65145455483816 
210,458.64235835391406 
220,725.541949575863 
230,587.0941720098328 
240,891.5053447024776 
250,920.9173268354923 
260,930.992175126334 
270,819.2654058334427 
280,750.5864393985402 
290,740.6697987180559 
300,829.0977001232304 
